family,form,example,a,b,total,prompt,graph_id,rank,layer,position,feature,feature_id,edge_to_target,abs_edge
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,1,24,7,11880,L24_F11880,1.587890625,1.587890625
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,2,25,7,15532,L25_F15532,-1.3408203125,1.3408203125
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,3,20,7,4597,L20_F4597,1.0283203125,1.0283203125
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,4,19,7,2665,L19_F2665,0.60888671875,0.60888671875
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,5,23,7,8901,L23_F8901,0.480712890625,0.480712890625
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,6,24,7,13541,L24_F13541,0.478515625,0.478515625
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,7,25,7,15920,L25_F15920,0.4375,0.4375
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,8,24,7,15320,L24_F15320,0.3759765625,0.3759765625
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,9,23,7,14350,L23_F14350,0.35546875,0.35546875
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,10,24,7,4350,L24_F4350,0.348388671875,0.348388671875
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,11,23,7,8967,L23_F8967,-0.330810546875,0.330810546875
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,12,20,7,14080,L20_F14080,0.307373046875,0.307373046875
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,13,24,7,11752,L24_F11752,0.29541015625,0.29541015625
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,14,25,7,14744,L25_F14744,0.292236328125,0.292236328125
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,15,23,7,12265,L23_F12265,0.26123046875,0.26123046875
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,16,20,7,11603,L20_F11603,0.254150390625,0.254150390625
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,17,24,7,1677,L24_F1677,0.24609375,0.24609375
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,18,25,7,4717,L25_F4717,0.230712890625,0.230712890625
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,19,23,7,14355,L23_F14355,0.2110595703125,0.2110595703125
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,20,22,7,14403,L22_F14403,0.20703125,0.20703125
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,21,22,7,3777,L22_F3777,-0.2003173828125,0.2003173828125
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,22,22,7,10146,L22_F10146,0.2003173828125,0.2003173828125
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,23,21,7,11435,L21_F11435,0.1947021484375,0.1947021484375
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,24,23,7,3403,L23_F3403,0.1790771484375,0.1790771484375
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,25,1,7,14137,L1_F14137,-0.17578125,0.17578125
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,26,0,7,13004,L0_F13004,-0.1717529296875,0.1717529296875
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,27,24,7,6187,L24_F6187,0.1717529296875,0.1717529296875
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,28,18,7,12210,L18_F12210,0.1700439453125,0.1700439453125
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,29,23,7,4656,L23_F4656,-0.169677734375,0.169677734375
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,30,25,7,7906,L25_F7906,0.16552734375,0.16552734375
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,31,25,7,13822,L25_F13822,0.161865234375,0.161865234375
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,32,2,7,3014,L2_F3014,0.1612548828125,0.1612548828125
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,33,23,7,51,L23_F51,-0.1572265625,0.1572265625
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,34,20,7,3094,L20_F3094,0.15576171875,0.15576171875
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,35,24,7,5999,L24_F5999,-0.1553955078125,0.1553955078125
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,36,23,7,11185,L23_F11185,0.1517333984375,0.1517333984375
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,37,13,6,3243,L13_F3243,0.1500244140625,0.1500244140625
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,38,24,7,8622,L24_F8622,0.1463623046875,0.1463623046875
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,39,21,7,13968,L21_F13968,-0.145263671875,0.145263671875
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,40,23,7,5188,L23_F5188,0.141845703125,0.141845703125
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,41,23,7,13206,L23_F13206,0.1400146484375,0.1400146484375
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,42,20,7,14122,L20_F14122,0.1397705078125,0.1397705078125
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,43,23,7,8449,L23_F8449,-0.132568359375,0.132568359375
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,44,25,7,7426,L25_F7426,0.128173828125,0.128173828125
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,45,19,7,12505,L19_F12505,0.126953125,0.126953125
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,46,24,7,3775,L24_F3775,-0.12017822265625,0.12017822265625
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,47,25,7,11933,L25_F11933,-0.119873046875,0.119873046875
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,48,25,7,8403,L25_F8403,0.1181640625,0.1181640625
