source_form,target_form,a,b,source_prompt,target_prompt,total,feature_id,layer,feature,source_activation,target_activation,baseline_margin,changed_margin,damage,mode,status
explicit,explicit,1,2,calc: 1+2=,calc: 1+2=,3,L24_F13541,24,13541,83.4375,83.4375,4.8046875,5.015625,-0.2109375,zero,ok
explicit,explicit,1,2,calc: 1+2=,calc: 1+2=,3,L24_F13541,24,13541,83.4375,83.4375,4.8046875,4.8046875,0.0,source_transfer,ok
explicit,explicit,1,2,calc: 1+2=,calc: 1+2=,3,L25_F15920,25,15920,112.0625,112.0625,4.8046875,4.9375,-0.1328125,zero,ok
explicit,explicit,1,2,calc: 1+2=,calc: 1+2=,3,L25_F15920,25,15920,112.0625,112.0625,4.8046875,4.8046875,0.0,source_transfer,ok
explicit,explicit,1,2,calc: 1+2=,calc: 1+2=,3,L25_F14744,25,14744,54.8125,54.8125,4.8046875,4.859375,-0.0546875,zero,ok
explicit,explicit,1,2,calc: 1+2=,calc: 1+2=,3,L25_F14744,25,14744,54.8125,54.8125,4.8046875,4.8046875,0.0,source_transfer,ok
explicit,explicit,1,2,calc: 1+2=,calc: 1+2=,3,L25_F4717,25,4717,168.5,168.5,4.8046875,5.2578125,-0.453125,zero,ok
explicit,explicit,1,2,calc: 1+2=,calc: 1+2=,3,L25_F4717,25,4717,168.5,168.5,4.8046875,4.8046875,0.0,source_transfer,ok
explicit,explicit,1,2,calc: 1+2=,calc: 1+2=,3,L25_F13822,25,13822,26.375,26.375,4.8046875,4.7890625,0.015625,zero,ok
explicit,explicit,1,2,calc: 1+2=,calc: 1+2=,3,L25_F13822,25,13822,26.375,26.375,4.8046875,4.8046875,0.0,source_transfer,ok
explicit,explicit,1,2,calc: 1+2=,calc: 1+2=,3,L24_F5999,24,5999,34.5,34.5,4.8046875,4.8515625,-0.046875,zero,ok
explicit,explicit,1,2,calc: 1+2=,calc: 1+2=,3,L24_F5999,24,5999,34.5,34.5,4.8046875,4.8046875,0.0,source_transfer,ok
explicit,applied,1,2,calc: 1+2=,A shelf has 1 books and receives 2 more. How many books now?,3,L24_F13541,24,13541,83.4375,58.9375,0.6484375,0.64422607421875,0.00421142578125,zero,ok
explicit,applied,1,2,calc: 1+2=,A shelf has 1 books and receives 2 more. How many books now?,3,L24_F13541,24,13541,83.4375,58.9375,0.6484375,0.650634765625,-0.002197265625,source_transfer,ok
explicit,applied,1,2,calc: 1+2=,A shelf has 1 books and receives 2 more. How many books now?,3,L25_F15920,25,15920,112.0625,99.5625,0.6484375,0.655029296875,-0.006591796875,zero,ok
explicit,applied,1,2,calc: 1+2=,A shelf has 1 books and receives 2 more. How many books now?,3,L25_F15920,25,15920,112.0625,99.5625,0.6484375,0.647705078125,0.000732421875,source_transfer,ok
explicit,applied,1,2,calc: 1+2=,A shelf has 1 books and receives 2 more. How many books now?,3,L25_F14744,25,14744,54.8125,69.0,0.6484375,0.680419921875,-0.031982421875,zero,ok
explicit,applied,1,2,calc: 1+2=,A shelf has 1 books and receives 2 more. How many books now?,3,L25_F14744,25,14744,54.8125,69.0,0.6484375,0.6549072265625,-0.0064697265625,source_transfer,ok
explicit,applied,1,2,calc: 1+2=,A shelf has 1 books and receives 2 more. How many books now?,3,L25_F4717,25,4717,168.5,258.25,0.6484375,0.7938232421875,-0.1453857421875,zero,ok
explicit,applied,1,2,calc: 1+2=,A shelf has 1 books and receives 2 more. How many books now?,3,L25_F4717,25,4717,168.5,258.25,0.6484375,0.693115234375,-0.044677734375,source_transfer,ok
explicit,applied,1,2,calc: 1+2=,A shelf has 1 books and receives 2 more. How many books now?,3,L25_F13822,25,13822,26.375,40.78125,0.6484375,0.669921875,-0.021484375,zero,ok
explicit,applied,1,2,calc: 1+2=,A shelf has 1 books and receives 2 more. How many books now?,3,L25_F13822,25,13822,26.375,40.78125,0.6484375,0.656982421875,-0.008544921875,source_transfer,ok
explicit,applied,1,2,calc: 1+2=,A shelf has 1 books and receives 2 more. How many books now?,3,L24_F5999,24,5999,34.5,8.6953125,0.6484375,0.656494140625,-0.008056640625,zero,ok
explicit,applied,1,2,calc: 1+2=,A shelf has 1 books and receives 2 more. How many books now?,3,L24_F5999,24,5999,34.5,8.6953125,0.6484375,0.627197265625,0.021240234375,source_transfer,ok
explicit,implicit,1,2,calc: 1+2=,Record: start=1; added=2; total=?,3,L24_F13541,24,13541,83.4375,72.25,0.59765625,0.5859375,0.01171875,zero,ok
explicit,implicit,1,2,calc: 1+2=,Record: start=1; added=2; total=?,3,L24_F13541,24,13541,83.4375,72.25,0.59765625,0.59765625,0.0,source_transfer,ok
explicit,implicit,1,2,calc: 1+2=,Record: start=1; added=2; total=?,3,L25_F15920,25,15920,112.0625,99.5,0.59765625,0.6015625,-0.00390625,zero,ok
explicit,implicit,1,2,calc: 1+2=,Record: start=1; added=2; total=?,3,L25_F15920,25,15920,112.0625,99.5,0.59765625,0.59765625,0.0,source_transfer,ok
explicit,implicit,1,2,calc: 1+2=,Record: start=1; added=2; total=?,3,L25_F14744,25,14744,54.8125,63.125,0.59765625,0.625,-0.02734375,zero,ok
explicit,implicit,1,2,calc: 1+2=,Record: start=1; added=2; total=?,3,L25_F14744,25,14744,54.8125,63.125,0.59765625,0.60546875,-0.0078125,source_transfer,ok
explicit,implicit,1,2,calc: 1+2=,Record: start=1; added=2; total=?,3,L25_F4717,25,4717,168.5,218.25,0.59765625,0.703125,-0.10546875,zero,ok
explicit,implicit,1,2,calc: 1+2=,Record: start=1; added=2; total=?,3,L25_F4717,25,4717,168.5,218.25,0.59765625,0.61328125,-0.015625,source_transfer,ok
explicit,implicit,1,2,calc: 1+2=,Record: start=1; added=2; total=?,3,L25_F13822,25,13822,26.375,30.515625,0.59765625,0.61328125,-0.015625,zero,ok
explicit,implicit,1,2,calc: 1+2=,Record: start=1; added=2; total=?,3,L25_F13822,25,13822,26.375,30.515625,0.59765625,0.60546875,-0.0078125,source_transfer,ok
explicit,implicit,1,2,calc: 1+2=,Record: start=1; added=2; total=?,3,L24_F5999,24,5999,34.5,52.75,0.59765625,0.634765625,-0.037109375,zero,ok
explicit,implicit,1,2,calc: 1+2=,Record: start=1; added=2; total=?,3,L24_F5999,24,5999,34.5,52.75,0.59765625,0.61328125,-0.015625,source_transfer,ok
explicit,subtraction,1,2,calc: 1+2=,calc: 2-1=,1,L24_F13541,24,13541,83.4375,84.3125,0.1171875,0.09375,0.0234375,zero,ok
explicit,subtraction,1,2,calc: 1+2=,calc: 2-1=,1,L24_F13541,24,13541,83.4375,84.3125,0.1171875,0.109375,0.0078125,source_transfer,ok
explicit,subtraction,1,2,calc: 1+2=,calc: 2-1=,1,L25_F15920,25,15920,112.0625,113.25,0.1171875,0.078125,0.0390625,zero,ok
explicit,subtraction,1,2,calc: 1+2=,calc: 2-1=,1,L25_F15920,25,15920,112.0625,113.25,0.1171875,0.109375,0.0078125,source_transfer,ok
explicit,subtraction,1,2,calc: 1+2=,calc: 2-1=,1,L25_F14744,25,14744,54.8125,54.28125,0.1171875,0.125,-0.0078125,zero,ok
explicit,subtraction,1,2,calc: 1+2=,calc: 2-1=,1,L25_F14744,25,14744,54.8125,54.28125,0.1171875,0.1171875,0.0,source_transfer,ok
explicit,subtraction,1,2,calc: 1+2=,calc: 2-1=,1,L25_F4717,25,4717,168.5,172.0,0.1171875,0.1015625,0.015625,zero,ok
explicit,subtraction,1,2,calc: 1+2=,calc: 2-1=,1,L25_F4717,25,4717,168.5,172.0,0.1171875,0.109375,0.0078125,source_transfer,ok
explicit,subtraction,1,2,calc: 1+2=,calc: 2-1=,1,L25_F13822,25,13822,26.375,22.75,0.1171875,0.09375,0.0234375,zero,ok
explicit,subtraction,1,2,calc: 1+2=,calc: 2-1=,1,L25_F13822,25,13822,26.375,22.75,0.1171875,0.1171875,0.0,source_transfer,ok
explicit,subtraction,1,2,calc: 1+2=,calc: 2-1=,1,L24_F5999,24,5999,34.5,31.78125,0.1171875,0.1171875,0.0,zero,ok
explicit,subtraction,1,2,calc: 1+2=,calc: 2-1=,1,L24_F5999,24,5999,34.5,31.78125,0.1171875,0.109375,0.0078125,source_transfer,ok
explicit,multiplication,1,2,calc: 1+2=,calc: 1*2=,2,L24_F13541,24,13541,83.4375,78.5,0.0,-0.03125,0.03125,zero,ok
explicit,multiplication,1,2,calc: 1+2=,calc: 1*2=,2,L24_F13541,24,13541,83.4375,78.5,0.0,0.0078125,-0.0078125,source_transfer,ok
explicit,multiplication,1,2,calc: 1+2=,calc: 1*2=,2,L25_F15920,25,15920,112.0625,115.375,0.0,0.0234375,-0.0234375,zero,ok
explicit,multiplication,1,2,calc: 1+2=,calc: 1*2=,2,L25_F15920,25,15920,112.0625,115.375,0.0,0.0078125,-0.0078125,source_transfer,ok
explicit,multiplication,1,2,calc: 1+2=,calc: 1*2=,2,L25_F14744,25,14744,54.8125,57.6875,0.0,0.0,0.0,zero,ok
explicit,multiplication,1,2,calc: 1+2=,calc: 1*2=,2,L25_F14744,25,14744,54.8125,57.6875,0.0,0.0078125,-0.0078125,source_transfer,ok
explicit,multiplication,1,2,calc: 1+2=,calc: 1*2=,2,L25_F4717,25,4717,168.5,173.75,0.0,0.0234375,-0.0234375,zero,ok
explicit,multiplication,1,2,calc: 1+2=,calc: 1*2=,2,L25_F4717,25,4717,168.5,173.75,0.0,0.0,0.0,source_transfer,ok
explicit,multiplication,1,2,calc: 1+2=,calc: 1*2=,2,L25_F13822,25,13822,26.375,22.828125,0.0,-0.0390625,0.0390625,zero,ok
explicit,multiplication,1,2,calc: 1+2=,calc: 1*2=,2,L25_F13822,25,13822,26.375,22.828125,0.0,0.0078125,-0.0078125,source_transfer,ok
explicit,multiplication,1,2,calc: 1+2=,calc: 1*2=,2,L24_F5999,24,5999,34.5,37.875,0.0,0.015625,-0.015625,zero,ok
explicit,multiplication,1,2,calc: 1+2=,calc: 1*2=,2,L24_F5999,24,5999,34.5,37.875,0.0,0.0078125,-0.0078125,source_transfer,ok
explicit,explicit,1,3,calc: 1+3=,calc: 1+3=,4,L24_F13541,24,13541,84.9375,84.9375,1.125,1.1328125,-0.0078125,zero,ok
explicit,explicit,1,3,calc: 1+3=,calc: 1+3=,4,L24_F13541,24,13541,84.9375,84.9375,1.125,1.125,0.0,source_transfer,ok
explicit,explicit,1,3,calc: 1+3=,calc: 1+3=,4,L25_F15920,25,15920,112.0625,112.0625,1.125,1.15625,-0.03125,zero,ok
explicit,explicit,1,3,calc: 1+3=,calc: 1+3=,4,L25_F15920,25,15920,112.0625,112.0625,1.125,1.125,0.0,source_transfer,ok
explicit,explicit,1,3,calc: 1+3=,calc: 1+3=,4,L25_F14744,25,14744,60.0,60.0,1.125,1.109375,0.015625,zero,ok
explicit,explicit,1,3,calc: 1+3=,calc: 1+3=,4,L25_F14744,25,14744,60.0,60.0,1.125,1.125,0.0,source_transfer,ok
explicit,explicit,1,3,calc: 1+3=,calc: 1+3=,4,L25_F4717,25,4717,168.875,168.875,1.125,1.25,-0.125,zero,ok
explicit,explicit,1,3,calc: 1+3=,calc: 1+3=,4,L25_F4717,25,4717,168.875,168.875,1.125,1.125,0.0,source_transfer,ok
explicit,explicit,1,3,calc: 1+3=,calc: 1+3=,4,L25_F13822,25,13822,28.0,28.0,1.125,1.125,0.0,zero,ok
explicit,explicit,1,3,calc: 1+3=,calc: 1+3=,4,L25_F13822,25,13822,28.0,28.0,1.125,1.125,0.0,source_transfer,ok
explicit,explicit,1,3,calc: 1+3=,calc: 1+3=,4,L24_F5999,24,5999,42.875,42.875,1.125,1.140625,-0.015625,zero,ok
explicit,explicit,1,3,calc: 1+3=,calc: 1+3=,4,L24_F5999,24,5999,42.875,42.875,1.125,1.125,0.0,source_transfer,ok
